,0
0,0.5629278157506137
1,0.531623341664447
2,0.5002281880555558
3,0.46887783694318097
4,0.4377077703465636
5,0.4068534702849449
6,0.37645041877756574
7,0.3466340978436673
8,0.31753998950249046
9,0.2893035757732764
10,0.26206033867526624
11,0.23594576022770086
12,0.21109532244982132
13,0.18764450736086885
14,0.1657287969800843
15,0.14548367332670886
16,0.1270446184199835
17,0.11054711427914932
18,0.09612664292344741
19,0.08391868637211852
